English,Danish Word(s),Danish Comments,Finnish Word(s),Finnish Comments,Norwegian Word(s),Norwegian Comments,Swedish Word(s),Swedish Comments
Conceptual (22 Rows),,,,"There are 15 (I think!) cases in Finnish, but with the *, the different cases should be captured, right?",,,Conceptual,
"Memor*, Memory, Memories, Memorial, Memorialise, Memorialisation ","Mind*, minde, minder, mindeværdig, mindes",,"Muisto*, muisti*, muistoja, muistot, muistoa",,"Minn*, Minne, Minner, Minnesmerke, Å minnes, Minnesmerking",,"minn*, minne, minnet, minnen, minnena, minnas, minns, minnes-",
"Tradition*, Tradition, Traditions Traditional ","Tradition*, tradition. traditoner, traditionel",,"Perin*, perinne, perinteet, perinteisiä",,"Tradisjon*, Tradisjon, Tradisjoner Tradisjonell",,"tradition*, tradioner, traditionen, traditionerna, traditionell, traditionella, traditionellt",
"Heritage, Inherit, Inheritance ","Arv, arve, arv",,"Perin*, perintö, perintöä, perintöjä ",,"Arv, Arve, Arv",,"arv*, arvs, arven, arvet; ärv*, ärva, ärvt, ärvda; nedärv*, nedärvda, nedärvts, nedärvd, nedärvs",
"Commemor*, Commemoration, Commemorations, Commemorate ","Mindehøjtidelighed, mindes sammen/markere",The word does not translate directely into an independent Danish word,"muistella, viettää () muistoa, kunnioittaa () muistoa","for the two last terms, you need the object of commemmoration in between the two words","Minnemerk*, Minnesmarkering, Minnesmarkeringer, Å minnes",,-,same translation as memor*
"Rememb* Remembrance, Remember (excluding 'remember to' vote), Remembering; Recall","Husk*, huske, genkalde sig ",,"Muista*, muistaa",,"Huske, Minnesmerke, Huske",,"ihågkom*, ihågkomst, ihågkomna, ihågkommes",some of these are rarely used in everyday Swedish language - but if we want to be exhaustive we should include them in the dictionary anyways.
"Histor*, History, Historical","Historie, historien, historisk",,"historia, historialli*, historiallinen",,"Histor*, Historie, Historisk",,"histori*, historia, historien, historisk, historiska, historisk",
"Recollection, Recollect ","Erindring, erindre",,"muistaa, muistella","As far as I know, commemmorating, remembering, recollecting (and reminiscing?) don't really have different terms in Finnish","Gjenkalle, Huske",,återkalla,"This has two meanings in Swedish - and ""återkalla"" as in recollect is mainly used in literary contexts, whereas the other meaning (retract) is much more commonly used in everyday/political language - so this term may produce some noise. Probably not that much noise - but I would still suggest excluding it."
Generation*; generational,"Generation, generationer, generationel",,"sukupuolv*, sukupuolvi, sukupolvet, ylisukupolvelli*, ylisukupolvellinen, ylisukpolvellisia",,"Genrasjon*, Generasjonell",Genrasjonell is hardly ever used,"generation*, generationer, generationen, generationerna, generationernas, generationens, generationell, generationella",
Legacy,Arv,,perintö,,Arv,,"legend*, legenden, legender, legendarisk, legendariska, legendariskt, legenderna","The by far most common translation would be the same as for heritage/inheritance - but this related term may be worth including for when parties speak of ""legendary"" representatives etc."
"Nostalgi*, Nostalgia, Nostalgic","Nostalgi, nostalgisk",,"nostalgi*, nostalgia, nostalginen",,"Nostalgi*, Nostalgia, Nostalgisk",,"nostalgi*, nostalgisk, nostalgiska, nostalgiskt",
"Remind*, Reminds, Reminder, Reminded","Påmind*, påminde, påminder, påmindet",,"muistut*, muistuttaa, muistutus",,"Minner*, Minder, Påminnelse, Minnet",,"påminner, minner",
"Restore, Restoration ","genskabe, genopbygge, genoprette, genskabelse, genopbyggelse, genoprettelse",,palauttaa,,"Gjenopprette, Restaurering",Restaurering is more often used about buildings,"återställ*, återställts, återställa, återställda, återställt; återuppbygg*, återuppbygga, återuppbyggt, återuppbyggd",
"Reconstruct, Reconstruction","rekonstrurere, rekonstruktion, genopbygge ",There is a lot of content overlap from the word above in Danish,"ennallista*, ennallistaa, ennallistami*, ennallistaminen, entisöi*, entisöidä, entisöiminen",,"Gjenoppbygge, Gjenoppbygging",,rekonstruera,"This particular translation is rarely used in political contexts/language - but the other translations are covered above, as they are the same as for ""restore"""
Rebuild,genopbygge,,rakentaa uudelleen,,"Bygg på nytt, Gjenoppbygge, Gjenopprette",,-,Same Swedish translation as for restore
Preserve,bevare,,"säilyt*, säilyttää, säilytys, ylläpi*, ylläpitää",,Bevare,,"bevar*, bevara, bevarade, bevarats, bevarande",
Return,vende tilbage,,"pala*, palata, palaamme",,"Return*, Returnere",,"återgå, återvända, återvänt, återgick, återgått",
